"Name","Total_Average_MAE_Loss","feature_index"
"dutiful-sweep-165","6.932219471250262","168"
"driven-sweep-365","6.93221110531262","368"
"clean-sweep-3","6.929680262293134","6"
"earnest-sweep-206","6.929076948336192","209"
"upbeat-sweep-356","6.926483703511102","359"
"olive-sweep-221","6.924593848841531","224"
"worldly-sweep-58","6.9187168308666775","61"
"robust-sweep-102","6.909487111227853","105"
"denim-sweep-120","6.909393285002027","123"
"solar-sweep-160","6.906891047954559","163"
"misunderstood-sweep-88","6.899866504328592","91"
"polished-sweep-254","6.899535068443843","257"
"kind-sweep-277","6.897369312388556","280"
"revived-sweep-56","6.8895639181137085","59"
"clear-sweep-269","6.880759997027261","272"
"devoted-sweep-297","6.878718623093197","300"
"denim-sweep-244","6.873661484037127","247"
"restful-sweep-308","6.872073147978101","311"
"twilight-sweep-143","6.868729033640452","146"
"devout-sweep-198","6.868627675942013","201"
"vivid-sweep-140","6.866022842270987","143"
"spring-sweep-294","6.859426847526005","297"
"hopeful-sweep-62","6.852579602173396","65"
"legendary-sweep-100","6.8466816161360065","103"
"whole-sweep-52","6.83932946409498","55"
"glowing-sweep-77","6.838755990777697","80"
"ethereal-sweep-98","6.837747360978807","101"
"soft-sweep-38","6.837551138230732","41"
"playful-sweep-6","6.835531549794333","9"
"charmed-sweep-310","6.831353749547685","313"
"comic-sweep-121","6.8285252792494635","124"
"splendid-sweep-309","6.82849868280547","312"
"rich-sweep-347","6.823144635983876","350"
"eager-sweep-364","6.818639159202576","367"
"comfy-sweep-371","6.811467545373099","374"
"woven-sweep-60","6.80908921786717","63"
"rose-sweep-105","6.797333870615278","108"
"fearless-sweep-157","6.780117337192808","160"
"electric-sweep-247","6.7671745632375995","250"
"flowing-sweep-54","6.766978050981249","57"
"lucky-sweep-170","6.759224482945033","173"
"serene-sweep-337","6.758833076272692","340"
"revived-sweep-106","6.75202876329422","109"
"radiant-sweep-224","6.748241126537323","227"
"sage-sweep-290","6.736561817782266","293"
"cosmic-sweep-70","6.728811251265663","73"
"rose-sweep-370","6.727637554918017","373"
"lunar-sweep-59","6.674291534083231","62"
"sparkling-sweep-22","6.659015727894646","25"
"quiet-sweep-211","6.63268307702882","214"
"iconic-sweep-237","6.605229275567191","240"
"happy-sweep-127","6.5583262188094","130"
"honest-sweep-26","","29"
"smart-sweep-97","","100"
"silvery-sweep-153","","156"
"glad-sweep-17","","20"
"colorful-sweep-152","","155"
"radiant-sweep-10","","13"
"rich-sweep-103","","106"
"youthful-sweep-154","","157"
"daily-sweep-24","","27"
"young-sweep-9","","12"
"azure-sweep-374","","377"
"olive-sweep-375","","378"
"dark-sweep-74","","77"
